TUNNISTE	KOEALA	PUUNRO	SUUNTA	ETAISYYS	PUULAJI	LATVKERROS	LPM	PITUUS	ELAVALARAJA	LATVUSLEV			
1	865	1	16	750	2	1	29.3	23.1	7.2	2.4		22.35	
2	865	2	23	507	2	1	33.7	25.5	8.8	2.7			891.51665
3	865	3	81	901	2	1	28.5	24.6	10.7	2.5			637.61625
4	865	4	84	480	2	1	29.8	24.7	8.9	2.7			697.1114
5	865	5	117	912	2	1	27.5	23.6	9.5	2.5			593.65625
6	865	6	147	644	2	1	19.3	19.9	7.5	2.1			292.40465
7	865	7	153	769	2	2	5.9	4.4	2	1			27.32585
8	865	8	156	444	2	1	27.5	23.6	8.3	2.6			593.65625
9	865	9	259	933	2	1	35	25.9	10	2.8			
10	865	10	260	592	2	1	25.7	23.5	9.8	2.2			
11	865	11	285	950	2	1	23.3	23.9	12.1	1.8			
12	865	12	303	503	2	1	29.3	24.4	9.5	2.8			
13	865	13	314	261	2	1	31	23.8	8.4	3.2			
14	865	14	355	838	2	1	32.5	26.4	10.9	2.5			
15	764	1	13	976	2	2	10.4	8.7	1.5	1.8			
16	764	2	29	970	2	2	13.1	10.1	1.4	1.7			
17	764	3	36	692	6	1	13.5	13.9	7.4	2.6			
18	764	4	36	728	6	1	5.7	6.5	4.1	1.7			
19	764	5	37	726	6	1	20.5	15.2	5.2	3.5			
20	764	6	39	665	6	1	5.5	4.9	2.1	1.7			
