"DBH"	"H"	"S"	"BA"
29.3	23.1	2	419.096313970512
33.7	25.5	2	510.705155749191
28.5	24.6	2	475.2915525616
29.8	24.7	2	479.163565507149
27.5	23.6	2	437.435361085843
19.3	19.9	2	311.025526687023
5.9	4.4	2	15.2053084433746
27.5	23.6	2	437.435361085843
35	25.9	2	526.852941988642
25.7	23.5	2	433.736135736241
23.3	23.9	2	448.627284914256
29.3	24.4	2	467.594650560305
31	23.8	2	444.880935674851
32.5	26.4	2	547.391103961485
10.4	8.7	2	59.4467869875528
13.1	10.1	2	80.1184666481737
13.5	13.9	6	151.746779150021
5.7	6.5	6	33.1830724035422
20.5	15.2	6	181.458391671346
5.5	4.9	6	18.8574099031727
