Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji	dbh_mm	h_dm
356	50843.71	22598.25	8.808	5.074924	4.3102	4.923	5.5734	6.717	0.12	0.528421	0.825263	0.936842	lehmus	142	86
357	50836.86	22591.38	9.25	4.997897	4.129	4.882	5.6366	6.643	0.322418	0.690176	0.93199	0.987406	lehmus	138	NA
358	50831.57	22584.98	8.614	5.020102	4.1197	4.854	5.8246	7.0632	0.227273	0.553476	0.842246	0.962567	lehmus	139	87
359	50826.63	22576.14	7.654	4.900527	4.0835	4.673	5.4935	6.717	0.078818	0.435961	0.694581	0.876847	lehmus	131	NA
360	50823.61	22564.35	7.88	4.757604	4.0231	4.5745	5.2775	6.3734	0.167273	0.585455	0.814545	0.950909	lehmus	134	79
361	50821.97	22557.04	8.159	4.399656	3.8318	4.144	4.8082	5.3878	0.195751	0.68437	0.915023	0.968134	lehmus	149	NA
362	50820.13	22545.87	6.181	3.703724	2.9904	3.6025	4.2707	4.9712	0.373134	0.61194	0.835821	0.977612	pihlaja	133	78
363	50818.54	22538.4	6.194	4.06023	3.5616	3.9315	4.5562	5.4419	0.186486	0.52973	0.789189	0.937838	pihlaja	176	NA
364	50817.48	22530.71	6.58	4.162396	3.6745	4.117	4.6405	5.223	0.143939	0.570707	0.893939	0.994949	pihlaja	185	65
365	50815.11	22523.69	5.742	3.746818	3.312	3.771	4.1104	4.7112	0.217391	0.545455	0.86166	0.992095	pihlaja	141	NA
366	50814.41	22515.45	6.578	4.221146	3.8164	4.227	4.6982	5.4358	0.170833	0.516667	0.85	0.9875	pihlaja	178	65
367	50808.45	22513.58	6.717	4.197136	3.608	4.264	4.753	5.4562	0.237681	0.501449	0.831884	0.982609	pihlaja	146	NA
368	50802.8	22515.88	7.424	4.218252	3.3442	3.879	4.8452	6.2572	0.386301	0.646575	0.846575	0.931507	pihlaja	177	82
369	50798.59	22521.02	6.946	3.966053	3.2526	3.797	4.289	5.6264	0.374631	0.716814	0.873156	0.988201	pihlaja	176	NA
370	50809.93	22521.48	6.573	3.803319	3.2085	3.673	4.2205	5.062	0.369565	0.706522	0.90942	0.981884	pihlaja	176	69
371	50811.66	22529.95	6.304	3.981508	3.2426	3.85	4.6302	5.5482	0.315789	0.578947	0.783282	0.962848	pihlaja	160	NA
372	50813.32	22536.51	6.546	4.141792	3.464	4.061	4.668	5.615	0.25876	0.579515	0.784367	0.96496	pihlaja	174	69
373	50805.41	22528.16	6.63	4.016925	3.3784	4.048	4.5282	5.351	0.290488	0.580977	0.871465	0.971722	pihlaja	151	NA
374	50803.04	22482.69	6.394	4.279769	3.7836	4.3	4.732	5.4844	0.153846	0.458886	0.782493	0.962865	pihlaja	201	NA
375	50811.78	22473.71	6.32	4.230565	3.6411	4.088	4.7478	5.5083	0.123529	0.411765	0.691176	0.870588	pihlaja	173	68
376	50801.19	22464.77	6.199	4.224419	3.5822	4.15	4.936	5.5	0.161572	0.467249	0.663755	0.938865	pihlaja	155	NA
378	50834.45	22520.85	5.838	3.360848	2.7577	3.2205	3.7843	4.7275	0.463636	0.745455	0.893939	0.990909	pihlaja	142	NA
379	50835.37	22531.02	4.881	3.136378	2.6512	3.087	3.5182	4.1756	0.415929	0.669617	0.858407	0.976401	pihlaja	140	48
380	50836.29	22537.97	5.172	3.066018	2.562	2.991	3.389	4.01	0.479638	0.782805	0.927602	0.9819	pihlaja	126	NA
382	50846.13	22528.62	6.56	3.813761	3.1425	3.682	4.3685	5.299	0.374384	0.67734	0.884236	0.977833	pihlaja	196	NA
383	50841.01	22534.07	5.845	3.106989	2.532	2.926	3.3698	4.348	0.602817	0.83662	0.938028	0.983099	pihlaja	154	64
384	50826.11	22513.15	5.053	3.525759	3.184	3.491	3.878	4.4075	0.170984	0.502591	0.797927	0.966321	pihlaja	155	58
385	50827.46	22519.32	5.661	3.271368	2.7937	3.1075	3.6629	4.2715	0.485849	0.75	0.915094	0.976415	pihlaja	144	NA
386	50828.63	22527.83	5.552	3.407709	2.9235	3.308	3.701	4.546	0.370861	0.715232	0.884106	0.976821	pihlaja	176	54
387	50831.01	22536.98	6.464	4.172259	3.6145	3.964	4.56	5.4435	0.120301	0.481203	0.721805	0.906015	pihlaja	126	NA
390	50835.92	22560.26	6.271	4.401437	3.9054	4.362	4.7592	5.4012	0.008403	0.142857	0.470588	0.798319	lehmus	92	NA
392	50838.25	22575.04	8.51	4.759095	3.9754	4.5515	5.2276	6.7074	0.27037	0.677778	0.867901	0.976543	lehmus	170	NA
393	50842.72	22584.62	7.485	4.523749	3.8143	4.288	4.8666	6.2486	0.076142	0.507614	0.77665	0.890863	lehmus	134	76
394	50849.72	22590.76	9.269	5.233997	4.2654	5.019	5.9308	7.3528	0.218421	0.589474	0.815789	0.955263	lehmus	145	NA
395	50797.95	22478.25	6.858	4.202725	3.6241	3.9295	4.5803	5.81	0.206044	0.607143	0.793956	0.947802	pihlaja	171	71
396	50793.4	22473.56	6.93	4.631678	4.0242	4.647	5.1596	5.948	0.106383	0.389058	0.717325	0.927052	pihlaja	191	NA
397	50791.34	22468.07	10.502	4.751551	3.4882	4.148	4.8466	10.0532	0.602899	0.875362	0.878261	0.881159	pihlaja	172	61
398	50779.99	22461.41	6.821	4.753226	4.0532	4.637	5.4592	6.1108	0.063613	0.315522	0.564885	0.753181	pihlaja	216	NA
399	50772.41	22453.71	6.654	4.734296	4.0278	4.7725	5.3775	6.0739	0.081522	0.399457	0.660326	0.92663	pihlaja	217	75
400	50764.49	22445.34	7.127	4.705383	4.1956	4.659	5.2242	6.077	0.124736	0.408034	0.758985	0.961945	pihlaja	221	NA
401	50759.98	22441.45	7.303	4.903412	4.1598	4.885	5.5574	6.362	0.051765	0.383529	0.609412	0.861176	pihlaja	223	80
402	50750.46	22432.41	7.04	4.715068	4.1255	4.708	5.378	6.025	0.122807	0.346491	0.657895	0.947368	pihlaja	208	NA
403	50745.15	22427.4	6.677	4.80867	4.3245	4.919	5.429	6.047	0.079399	0.229614	0.495708	0.813305	pihlaja	213	78
404	50740.18	22423.04	6.816	4.538546	4.007	4.55	5.1596	5.9254	0.170431	0.400411	0.712526	0.936345	pihlaja	211	NA
405	50735.4	22417.25	7.506	4.777731	4.2183	4.7175	5.4117	6.3729	0.163683	0.478261	0.765985	0.964194	pihlaja	254	82
406	50732	22410.06	10.385	4.702377	3.6522	4.1865	5.1602	6.1974	0.554688	0.886719	0.923828	0.923828	pihlaja	196	NA
407	50722.24	22405.79	6.116	4.109012	3.6424	4.072	4.5807	5.2797	0.156371	0.434363	0.735521	0.944015	pihlaja	176	67
409	50745.67	22410.79	6.709	4.371806	3.7408	4.2625	4.8707	5.7956	0.155612	0.443878	0.742347	0.92602	pihlaja	199	NA
410	50751.05	22415.81	6.893	4.232593	3.5586	4.1285	4.8866	5.6847	0.268519	0.574074	0.824074	0.975309	pihlaja	179	71
