Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
134	46871.88	22728.15	12.522	12.361111	12.3295	12.402	12.4303	12.4944	0	0	0	0	vaahtera
143	47008.35	22692.37	9.552	8.271312	8.15	8.202	8.27	8.3844	0	0	0	0	vaahtera
173	47514.95	22662.24	2.828	2.598625	2.5487	2.7255	2.7619	2.7944	0	0.25	0.25	0.375	vaahtera
175	49787.42	22697.44	9.231	6.959909	6.4307	7.0975	7.6916	8.2147	0.003963	0.083884	0.338177	0.76354	lehmus
176	49789.8	22689.2	9.12	6.5549	6.0025	6.5115	6.9985	8.0055	0.007559	0.137149	0.673866	0.953564	lehmus
177	49785.91	22680.44	10.02	6.903891	6.086	6.678	7.3204	8.8682	0.002933	0.245357	0.754643	0.931574	lehmus
178	49790.63	22670.36	9.55	6.983885	6.4422	6.947	7.5302	8.5236	0.00277	0.100646	0.484765	0.865189	lehmus
179	49792.01	22662.63	11.923	8.6842	8.0746	8.85	9.54	10.4286	0.026973	0.075753	0.450789	0.918221	lehmus
180	49793.59	22652.77	10.119	7.993233	7.354	7.8325	8.717	9.504	0.003813	0.032135	0.437364	0.831699	lehmus
181	49792.62	22645.02	12.718	8.973027	8.1243	8.759	9.6827	10.9195	0.010436	0.108534	0.673701	0.930659	lehmus
182	49792.29	22637.34	14.538	10.163813	9.201	10.292	11.4225	13.1695	0.018398	0.203734	0.574134	0.885552	lehmus
183	49791.99	22628.7	15.768	11.27166	10.2565	11.336	12.5905	13.928	0.014403	0.147462	0.544925	0.918381	lehmus
184	49789.91	22619.65	16.646	11.775632	10.041	11.8495	13.3923	15.2567	0.02858	0.179603	0.5358	0.876354	lehmus
185	49792.06	22607.98	16.785	12.077599	10.9751	12.3985	13.619	15.2091	0.011419	0.156747	0.474394	0.890657	lehmus
186	49791.55	22600.1	16.648	11.634257	10.0282	11.984	13.2527	14.7804	0.011278	0.18938	0.519267	0.945959	lehmus
187	49791.57	22590.73	16.022	11.317442	9.861	11.417	13.185	14.47	0.00343	0.146497	0.44145	0.724645	lehmus
188	49791.09	22581.58	17.25	12.509508	11.4762	12.671	13.9318	15.5076	0.007884	0.113705	0.459673	0.890843	lehmus
189	49790.54	22573.61	17.888	12.749325	11.4214	12.823	14.1128	15.9598	0.002885	0.082516	0.423543	0.821119	lehmus
190	49790.19	22564.52	17.569	12.510539	10.9999	12.577	13.8585	15.8045	0.003362	0.091887	0.460108	0.861721	lehmus
191	49790.97	22553.56	16.481	11.753498	10.368	11.669	12.93	14.808	0.003985	0.046164	0.371637	0.763534	lehmus
192	49789.94	22546.86	16.412	11.058314	9.8156	11.42	12.3932	13.9134	0.009001	0.219837	0.624373	0.957244	lehmus
